Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-13,13:32:47,-0.36,1.00,-0.14,-29.17,-74.65,107.06
2025-02-13,13:32:47,-0.21,0.60,0.11,119.45,-137.63,-109.13
2025-02-13,13:32:48,0.18,1.38,-0.87,35.95,-79.77,-142.88
2025-02-13,13:32:48,-0.89,0.91,0.26,-34.12,125.18,58.59
2025-02-13,13:32:49,-0.55,0.33,-0.05,-41.32,-172.18,-59.02
2025-02-13,13:32:49,-0.58,0.47,0.97,-4.33,-22.03,85.08
2025-02-13,13:32:50,-0.44,1.01,-0.15,57.13,11.47,-63.54
2025-02-13,13:32:50,-0.79,0.72,0.55,-15.14,-22.40,66.04
2025-02-13,13:32:51,-0.54,0.63,0.02,22.83,-20.94,-39.43
2025-02-13,13:32:51,-0.75,0.91,0.70,3.60,-41.14,58.72
2025-02-13,13:32:52,-0.42,1.00,-0.12,37.60,51.88,-48.16
2025-02-13,13:32:52,-0.54,0.27,-0.07,51.21,-94.36,-1.83
2025-02-13,13:32:53,-0.57,0.94,-0.94,-25.82,-7.63,29.42
2025-02-13,13:32:53,-0.35,0.80,-0.44,-33.26,96.25,73.85
2025-02-13,13:32:54,-0.57,0.76,-0.03,19.59,-117.98,-75.50
2025-02-13,13:32:54,-0.57,0.68,-0.53,-30.09,42.11,1.83
2025-02-13,13:32:55,-0.78,0.29,0.36,-22.40,-80.69,-56.34
